,REG_NO,Brand,Model,CC,Manufactured_Date,DEALER_ID,DEALERSHIP_NAME,Purchase_date,Color,Purchase_Price,Source,Refurbish_Date,Variant,PART_DESCRIPTION,Part_Cost,Labour_Description,Labour_Amount,Refurbished_price,Sale_Date,Year,Sale_Price,Financier,Model_new,Varient,Age
256,KA03KA7096,HONDA,DIO,110.0,2019,100000011.0,AARAG TRUMOTO,2020-10-31,NAN,68000.0,WALK IN,2020-12-09,,,,,0.0,,2020,2020.0,65000.0,IDFC,DIO,,1
257,AP05ET2937,YAMAHA,FZS (TC-RG442),149.0,2018,100000026.0,WHEELSMART,2022-12-20,NAN,62000.0,OUTDOOR ACTIVITY,2022-12-28,,,,,0.0,,2022,2022.0,74000.0,NAN,FZS,,4
258,DL8SCT0784,TVS,APACHE RTR 160 4V,160.0,2019,100000021.0,BAJWA AUTOMOBILES,2022-11-05,AP RED,0.0,TELEPHONE,2022-07-22,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,362.0,WATER  WASH - SCOOTY,50.0,412.0,2022,2022.0,90400.0,NAN,APACHE RTR160,4V,3
259,TN90D4581,HONDA,DIO,110.0,2018,100000020.0,JAISUBHA MOTORS,2022-05-30,NAN,62000.0,WALK IN,2022-05-30,,,,,0.0,,2022,2022.0,68000.0,NAN,DIO,,4
260,DL11SR4439,TVS,JUPITER BSIV,110.0,2017,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-05-11,DP MATTE BLUE,28000.0,WALK IN,2022-05-11,110cc,,,,0.0,,2022,2022.0,55000.0,OTHERS,JUPITER,BSIV,5
261,DL4SDE8969,TVS,JUPITER ZX,110.0,2020,100000003.0,KRISH AUTOMOBILES,2021-09-24,STARLIGHT BLUE,54000.0,WALK IN,2021-10-10,110CC BS6,,,,0.0,,2021,2021.0,63520.0,NAN,JUPITER ZX,,1
263,DL9SBT9597,HERO,PASSION PRO I3S-SELF-DRUM-CAST,110.0,2018,100000021.0,BAJWA AUTOMOBILES,2022-05-11,NAN,33500.0,TELEPHONE,2022-05-11,,ENGINE OIL,420.68,WATER  WASH - SCOOTY,50.0,415.0,2022,2022.0,52502.0,NAN,PASSION PRO,I3S SELF DRUM CAST,4
264,MH46BS9213,SUZUKI,ACCESS 125,124.0,2019,100000025.0,A S MOTOR,2022-07-01,NAN,45000.0,WALK IN,2022-07-07,,TRU4 SYNTHETIC ENGINE OIL 1200 ML,920.88,,0.0,799.0,2022,2022.0,52180.0,NAN,ACCESS 125,,3
266,DL8SBR5890,YAMAHA,FASCINO,113.0,2016,100000021.0,BAJWA AUTOMOBILES,2022-06-26,NAN,26000.0,TELEPHONE,2022-06-26,,TRU4 SYNTHETIC ENGINE OIL 1200 ML,920.88,,0.0,799.0,2022,2022.0,42000.0,NAN,FASCINO,,6
269,DL9SBF8183,HERO,SPLENDOR PLUS,97.0,2016,100000003.0,KRISH AUTOMOBILES,2021-03-15,NAN,26000.0,WALK IN,2021-03-23,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,290.0,,0.0,290.0,2022,2022.0,44000.0,NAN,SPLENDOR PLUS,,6
271,AP39DZ2025,ROYAL ENFIELD,CLASSIC 350 EFI,350.0,2020,100000027.0,WHEELSMART,2022-09-20,NAN,173060.0,TELEPHONE,2022-10-08,,CASTROL 5ML,6.0,,0.0,6.0,2022,2022.0,177000.0,NAN,CLASSIC 350,EFI,2
275,MH05DC8858,TVS,JUPITER,110.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-08-11,C WHITE,36000.0,WALK IN,2022-08-17,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,LABOUR,650.0,1040.0,2022,2022.0,51000.0,NAN,JUPITER,,6
277,MH43AV7963,ROYAL ENFIELD,CLASSIC 350CC,350.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-01-12,NAN,92000.0,WALK IN,2022-01-12,350cc,TRU4 SYNTHETIC ENGINE OIL 1200 ML,904.74,WELDING REPAIR,100.0,885.0,2022,2022.0,93680.0,NAN,CLASSIC 350,,7
279,DL4SCW1836,TVS,APACHE RTR 160 4V,160.0,2018,100000003.0,KRISH AUTOMOBILES,2021-10-29,BLACK,45000.0,WALK IN,2021-10-29,,,,,0.0,,2021,2021.0,70772.32,OTHERS,APACHE RTR160,4V,3
283,DL12SE5391,HONDA,CB SHINE,125.0,2015,100000004.0,AHINSHA TRUMOTO,2022-03-31,NAN,20000.0,WALK IN,2022-03-31,125cc,,,,0.0,,2022,2022.0,42000.0,NAN,SHINE,,7
288,RJ44SE5002,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2019,100000013.0,SHANTI TRUMOTO,2021-02-04,NAN,40692.0,WALK IN,2021-03-05,,CHAIN COVER KIT,780.0,,0.0,640.0,2022,2022.0,46138.56,HEROFIN,HF DELUXE,DRUM SELF CAST,3
291,AP35AP7243,TVS,JUPITER BSIV,110.0,2018,100000026.0,WHEELSMART,2022-06-20,DP MATTE BLUE,42000.0,OUTDOOR ACTIVITY,2022-06-22,110cc,,,,0.0,,2022,2022.0,44000.0,NAN,JUPITER,BSIV,4
292,TN66X0588,ROYAL ENFIELD,CLASSIC 350 BS IV,350.0,2018,100000019.0,SRI VENKATESWAR AUTOS,2021-11-24,NAN,133000.0,E MAIL,2022-01-05,350cc,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,,0.0,310.0,2022,2022.0,139000.0,NAN,CLASSIC 350,BSIV,4
293,RJ07GS5714,TVS,SPORT DURALIFE BSIV,110.0,2017,100000013.0,SHANTI TRUMOTO,2022-03-25,C WHITE,15500.0,WALK IN,,,,,,,,2022,2022.0,26500.0,SCUF(SRIRAM),SPORT,DURALIFE BSIV,5
296,MH04KS7087,HERO,PASSION PRO DRUM-SELF-CAST,110.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-10-31,NAN,56500.0,WALK IN,2022-10-31,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,CLUTCH O/H,354.0,744.0,2022,2022.0,58900.0,NAN,PASSION PRO,DRUM SELF CAST,2
297,AP39JR9141,SUZUKI,ACCESS 125,124.0,2021,100000026.0,WHEELSMART,2022-10-14,NAN,76000.0,OUTDOOR ACTIVITY,2022-12-06,,,,,0.0,,2022,2022.0,80000.0,NAN,ACCESS 125,,1
298,RJ44SB3393,TVS,SPORT,110.0,2015,100000013.0,SHANTI TRUMOTO,2021-12-16,C WHITE,11100.0,WALK IN,2021-12-16,100cc,CENTAR PATTI,54.84,,0.0,45.0,2021,2021.0,15293.28,TVSCS,SPORT,,6
299,AP39JB4913,TVS,SCOOTY PEPPLUS,88.0,2021,100000027.0,WHEELSMART,2022-09-30,XX,54900.0,TELEPHONE,2022-10-03,,,,,0.0,,2022,2022.0,56000.0,OTHERS,SCOOTY PEPPLUS,,1
301,TN30BH5324,TVS,SCOOTY PEP PLUS BSIV,88.0,2017,100000020.0,JAISUBHA MOTORS,2022-05-13,XX,45000.0,WALK IN,2022-05-21,,,,,0.0,,2022,2022.0,51000.0,NAN,SCOOTY PEP PLUS,BSIV,5
305,TN54R6379,HONDA,DIO,110.0,2018,100000020.0,JAISUBHA MOTORS,2022-07-30,NAN,62000.0,WALK IN,2022-09-29,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,68000.0,NAN,DIO,,4
308,AP39GX2511,BAJAJ,PULSAR 150 DTSI,150.0,2020,100000026.0,WHEELSMART,2022-09-30,NAN,85816.0,OUTDOOR ACTIVITY,2022-09-30,,,,,0.0,,2022,2022.0,94184.0,NAN,PULSAR 150,DTSI,2
309,DL7SCA4831,TVS,JUPITER,110.0,2016,100000017.0,RAJPOOT BEST DEALS PVT LTD,2021-11-13,DP MATTE BLUE,22000.0,WALK IN,2021-12-14,110cc,,,,0.0,,2022,2022.0,47760.0,OTHERS,JUPITER,,6
310,MH01DM1713,SUZUKI,ACCESS 125,124.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-11,NAN,57500.0,WALK IN,2021-10-29,,FILTER HOLDER COMP,541.7,,0.0,235.0,2021,2021.0,59180.0,NAN,ACCESS 125,,2
312,MH43BQ0150,HONDA,CB125 SHINE SP,125.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-12-22,NAN,45000.0,TELEPHONE,2022-12-31,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,Magneto Replacement,100.0,490.0,2022,2022.0,46800.0,NAN,SHINE,SP,4
313,UP32KA1109,TVS,JUPITER BSIV,110.0,2018,100000005.0,RAFTAAR TRUMOTO,2022-08-04,BLACK,30000.0,WALK IN,2022-08-10,110cc,ENGINE OIL,200.0,LABOUR CHARGE,100.0,300.0,2022,2022.0,50000.0,NAN,JUPITER,BSIV,4
314,DL3SEH8976,TVS,JUPITER ZX BSIV,110.0,2019,100000004.0,AHINSHA TRUMOTO,2022-07-29,STARLIGHT BLUE,36000.0,WALK IN,2022-07-29,110CC,,,,0.0,,2022,2022.0,74000.0,NAN,JUPITER ZX,BSIV,3
318,MH04JY9149,HERO,PASSION PRO110DISC-SELF-CAST,110.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-14,NAN,0.0,WALK IN,2021-09-15,100CC DISC ALLOY,INDICATOR GLASS,255.94,BATTERY CHARGING - MCYCLE,50.0,260.0,2021,2021.0,55440.0,NAN,PASSION PRO,DISC SELF CAST,3
319,TN54M1517,YAMAHA,FZ S,149.0,2016,100000020.0,JAISUBHA MOTORS,2022-05-10,NAN,50000.0,WALK IN,2022-05-12,150CC,,,,0.0,,2022,2022.0,56000.0,NAN,FZS,,6
320,MH47AT4903,HONDA,CB UNICORN,150.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-07-06,NAN,66500.0,WALK IN,2022-07-07,150CC ABS BS6,TRU4 SYNTHETIC ENGINE OIL 1200 ML,904.74,ENGINE O/H(CRANKSHAFT/DRIVESHAFT/CAM SHIFTER) - MCYCLE,900.0,1685.0,2022,2022.0,83500.0,NAN,CB UNICORN 160,,2
324,DL8SCD9305,TVS,JUPITER BSIV,110.0,2017,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-02-26,C WHITE,28000.0,WALK IN,2022-02-26,110cc,,,,0.0,,2022,2022.0,60000.0,NAN,JUPITER,BSIV,5
326,DL14SK0757,YAMAHA,FZS FR & RR DISC,149.0,2019,100000021.0,BAJWA AUTOMOBILES,2022-11-07,NAN,45000.0,TELEPHONE,2022-11-07,,,,,0.0,,2022,2022.0,52000.0,NAN,FZS,FR & RR DISC,3
327,UP32GS7439,TVS,JUPITER,110.0,2015,100000005.0,RAFTAAR TRUMOTO,2022-06-07,SP SILVER,22500.0,WALK IN,2022-06-29,110cc,ENGINE OIL,218.98,Air filter cleaning/ replacement  - MOPED,62.5,252.5,2022,2022.0,33500.0,NAN,JUPITER,,7
329,RJ49SF7962,BAJAJ,CT 100,102.0,2021,100000013.0,SHANTI TRUMOTO,2022-10-29,NAN,38070.0,OUTDOOR ACTIVITY,2022-10-29,,METER COVER,120.0,,220.0,340.0,2022,2022.0,39372.0,SCUF(SRIRAM),CT 100,,1
330,RJ07DS7895,TVS,SPORT DURALIFE BSIV,110.0,2018,100000013.0,SHANTI TRUMOTO,2021-04-07,POLY BLACK,27100.0,WALK IN,2022-02-01,100cc,RUBBER BAR FOOTREST,64.54,"CYLINDER BLOCK, PISTON, RINGS,  O/H OR REPLACEMENT - MC 100-135CC",650.0,706.0,2022,2022.0,33202.88,TVSCS,SPORT,DURALIFE BSIV,4
335,MH05DC5587,HONDA,UNICORN,150.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-09-25,NAN,28000.0,TELEPHONE,2022-09-25,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,,0.0,390.0,2022,2022.0,29000.0,NAN,CB UNICORN 160,,6
337,MH01BZ3456,YAMAHA,FASCINO,113.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-10-15,NAN,12000.0,DIRECT MARKETING,2022-10-15,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,FRAME REPAIRS,100.0,490.0,2022,2022.0,13400.0,NAN,FASCINO,,7
343,AP39GM6448,BAJAJ,PULSAR 150 DTSI,150.0,2020,100000026.0,WHEELSMART,2022-10-20,NAN,81270.0,OUTDOOR ACTIVITY,2022-10-27,,,,,0.0,,2022,2022.0,96730.0,NAN,PULSAR 150,DTSI,2
345,AP39EH7030,ROYAL ENFIELD,CLASSIC 350 EFI,350.0,2020,100000026.0,WHEELSMART,2022-08-29,NAN,174200.0,OUTDOOR ACTIVITY,2022-11-19,,,,,0.0,,2022,2022.0,178200.0,NAN,CLASSIC 350,EFI,2
348,DL3SDF5727,TVS,JUPITER,110.0,2016,100000004.0,AHINSHA TRUMOTO,2022-05-08,DP METTE BLUE,19000.0,WALK IN,2022-05-08,110cc,,,,0.0,,2022,2022.0,53000.0,NAN,JUPITER,,6
349,RJ13SZ8555,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2017,100000013.0,SHANTI TRUMOTO,2021-02-10,NAN,32800.0,WALK IN,2021-07-08,,CAM CHAIN,255.94,,0.0,210.0,2021,2021.0,39744.0,SCUF(SRIRAM),HF DELUXE,DRUM SELF CAST,4
354,TN30BK9851,TVS,JUPITER BSIV,110.0,2018,100000020.0,JAISUBHA MOTORS,2022-08-05,DP MATTE BLUE,55000.0,WALK IN,2022-08-05,110cc,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,58000.0,NAN,JUPITER,BSIV,4
357,AP39JZ7877,HONDA,SHINE DISC,125.0,2021,100000026.0,WHEELSMART,2022-09-19,NAN,70000.0,OUTDOOR ACTIVITY,2022-11-05,,TYRE,1700.0,SPARES (OUTSIDE),844.0,2544.0,2022,2022.0,90000.0,NAN,SHINE,,1
362,DL3SCX9053,TVS,JUPITER,110.0,2016,100000004.0,AHINSHA TRUMOTO,2021-12-09,SP SILVER,0.0,WALK IN,2021-12-12,110cc,,,,0.0,,2021,2021.0,61600.0,NAN,JUPITER,,5
365,DL3SDQ2904,TVS,JUPITER BSIV,110.0,2017,100000004.0,AHINSHA TRUMOTO,2021-11-08,C WHITE,25000.0,WALK IN,2021-11-08,110cc,,,,0.0,,2022,2022.0,45000.0,NAN,JUPITER,BSIV,5
368,AP39DA3376,ROYAL ENFIELD,CLASSIC 350 ABS,350.0,2019,100000027.0,WHEELSMART,2022-11-09,NAN,152500.0,TELEPHONE,2022-11-12,,,,,0.0,,2022,2022.0,164000.0,OTHERS,CLASSIC 350,ABS,3
371,MH05CL5596,HONDA,DIO,110.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-06,NAN,22000.0,WALK IN,2022-03-06,,GEAR OIL,73.13,WELDING REPAIR,100.0,160.0,2022,2022.0,24994.0,NAN,DIO,,7
373,UP67AA0920,TVS,SCOOTY PEPPLUS BSIV,88.0,2019,100000015.0,MISHRA TRUMOTO,2021-12-01,PURPLE,36000.0,WALK IN,2021-12-08,,,,,0.0,,2022,2022.0,58000.0,TVSCS,SCOOTY PEPPLUS,BSIV,3
374,AP05DK5541,BAJAJ,PULSAR 150 DTSI BSIII,150.0,2016,100000026.0,WHEELSMART,2022-06-20,NAN,47000.0,OUTDOOR ACTIVITY,2022-06-22,,,,,0.0,,2022,2022.0,53000.0,NAN,PULSAR 150,DTSI BSIII,6
375,DL9SBS0398,TVS,APACHE RTR 160 4V,160.0,2018,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-02-17,RACING RED,48400.0,WALK IN,2022-02-17,,,,,0.0,,2022,2022.0,79600.0,NAN,APACHE RTR160,4V,4
376,DL1SAD9323,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2018,100000003.0,KRISH AUTOMOBILES,2022-02-25,NAN,37000.0,WALK IN,2022-02-25,I3s,,,,0.0,,2022,2022.0,52400.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,4
377,AP26CE1971,BAJAJ,PULSAR 220 DTSI F,220.0,2018,100000027.0,WHEELSMART,2022-06-17,NAN,77500.0,WALK IN,,,,,,,,2022,2022.0,98000.0,INDUSIND,PULSAR 220,DTSI F,4
380,TN99T0759,TVS,JUPITER,110.0,2020,100000019.0,SRI VENKATESWAR AUTOS,2022-03-07,WALNUT BROWN,59500.0,WALK IN,2022-03-07,110CC BS6,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICING  - MCYCLE,650.0,980.0,2022,2022.0,65500.0,OTHERS,JUPITER,,2
384,TN72BE4637,HONDA,ACTIVA 125 BSIII,125.0,2016,100000007.0,NELLAI MOTORS,2021-07-20,NAN,37000.0,WALK IN,2021-12-21,,,,,0.0,,2021,2021.0,38680.0,HDFC,ACTIVA 125,BSIII,5
387,DL4SCR7919,TVS,JUPITER BSIV,110.0,2017,100000003.0,KRISH AUTOMOBILES,2022-03-21,C WHITE,25000.0,WALK IN,2022-03-21,110cc,,,,0.0,,2022,2022.0,59000.0,NAN,JUPITER,BSIV,5
390,RJ49SF5940,BAJAJ,CT 100,102.0,2021,100000013.0,SHANTI TRUMOTO,2022-10-08,NAN,39620.0,OUTDOOR ACTIVITY,2022-10-09,,ENGINE OIL 1,160.0,,220.0,380.0,2022,2022.0,40382.0,SCUF(SRIRAM),CT 100,,1
392,DL4SCU9241,HONDA,ACTIVA 125,125.0,2018,100000003.0,KRISH AUTOMOBILES,2021-03-21,NAN,20000.0,WALK IN,2021-03-23,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,290.0,,0.0,290.0,2021,2021.0,51920.0,OTHERS,ACTIVA 125,,3
393,DL9SBL0321,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2017,100000003.0,KRISH AUTOMOBILES,2021-10-10,NAN,38000.0,WALK IN,2021-10-28,I3s,,,,0.0,,2021,2021.0,53568.0,OTHERS,SPLENDOR PLUS,I3S SELF DRUM CAST,4
395,MH01DD0406,SUZUKI,ACCESS 125,124.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-06,NAN,53500.0,WALK IN,2021-11-05,,,,,0.0,,2021,2021.0,53500.0,NAN,ACCESS 125,,3
399,DL12SJ6326,HONDA,AVIATOR STD,110.0,2016,100000003.0,KRISH AUTOMOBILES,2022-02-22,NAN,16000.0,WALK IN,2022-04-21,,,,,0.0,,2022,2022.0,48000.0,NAN,AVIATOR,,6
403,DL7SBZ9172,HERO,PASSION PRO  DRUM - SELF CAS,110.0,2015,100000021.0,BAJWA AUTOMOBILES,2022-10-31,NAN,18500.0,TELEPHONE,2022-10-31,,,,,0.0,,2022,2022.0,21500.0,NAN,PASSION PRO,DRUM SELF CAST,7
406,MH04GV2027,HONDA,ACTIVA ELE AUTO ST KICK ST BS2,110.0,2014,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-04,NAN,24000.0,WALK IN,2021-09-08,,BRKT LEVER LH,426.44,LABOUR CHARGE,100.0,470.0,2021,2021.0,31840.0,NAN,ACTIVA,ES CBS BSII,7
408,DL3SFD0362,TVS,JUPITER,110.0,2022,100000004.0,AHINSHA TRUMOTO,2022-08-18,BLACK,55000.0,WALK IN,2022-08-18,,,,,0.0,,2022,2022.0,91000.0,NAN,JUPITER,,0
410,RJ49SF4473,BAJAJ,CT 100,102.0,2020,100000013.0,SHANTI TRUMOTO,2022-10-17,NAN,35583.0,OUTDOOR ACTIVITY,2022-10-17,,KEY,80.0,,220.0,300.0,2022,2022.0,37809.0,SCUF(SRIRAM),CT 100,,2
414,TN41AS0394,ROYAL ENFIELD,CLASSIC 350 BS IV,350.0,2017,100000019.0,SRI VENKATESWAR AUTOS,2021-12-09,NAN,124000.0,E MAIL,2022-01-21,350cc,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,GENERAL SERVICING  - MCYCLE,650.0,960.0,2022,2022.0,131000.0,OTHERS,CLASSIC 350,BSIV,5
416,DL4SCE8477,TVS,JUPITER,110.0,2014,100000003.0,KRISH AUTOMOBILES,2021-10-10,TITANIUM GREY,14500.0,WALK IN,2021-12-10,110cc,,,,0.0,,2021,2021.0,35220.0,OTHERS,JUPITER,,7
418,AP39MP7502,HONDA,SHINE 125 STD,125.0,2021,100000023.0,WHEELSMART,2022-05-10,NAN,79000.0,WALK IN,2022-05-31,125CC DISC BS6,,,,0.0,,2022,2022.0,81000.0,NAN,SHINE,STD,1
421,DL4SDD4058,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2020,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-03-29,NAN,53000.0,WALK IN,2022-03-29,,,,,0.0,,2022,2022.0,63000.0,OTHERS,SPLENDOR PLUS,I3S SELF DRUM CAST,2
422,TN30BV1971,BAJAJ,PULSAR 150 DTSI,150.0,2016,100000020.0,JAISUBHA MOTORS,2022-11-12,NAN,60000.0,TELEPHONE,2022-11-13,,ENGINE OIL,403.38,,0.0,350.0,2022,2022.0,64000.0,NAN,PULSAR 150,DTSI,6
423,UP32JR2572,HONDA,ACTIVA 125,125.0,2017,100000005.0,RAFTAAR TRUMOTO,2022-06-26,NAN,30000.0,WALK IN,2022-06-28,,ENGINE OIL,230.51,OUT WORK,105.93,305.93,2022,2022.0,33000.0,NAN,ACTIVA 125,,5
424,MH05EC3243,HERO,PASSION PRO110DRUM-SELF-CAST,110.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-09-03,NAN,51000.0,WALK IN,2022-10-15,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,LABOUR,1000.0,1390.0,2022,2022.0,55000.0,NAN,PASSION PRO,DRUM SELF CAST,3
427,AP39BR5033,SUZUKI,ACCESS 125,124.0,2019,100000023.0,WHEELSMART,2022-05-09,NAN,65000.0,WALK IN,2022-05-09,,,,,0.0,,2022,2022.0,67000.0,OTHERS,ACCESS 125,,3
436,RJ07FS4186,HONDA,CB SHINE,125.0,2019,100000013.0,SHANTI TRUMOTO,2021-12-01,BLACK,38000.0,WALK IN,2021-12-01,110CC DISC SBT SPECIAL EDITION,SET,170.63,,0.0,140.0,2022,2022.0,41000.48,HDFC,SHINE,,3
438,AP39BD8824,HONDA,DIO,110.0,2019,100000026.0,WHEELSMART,2022-09-09,NAN,54500.0,OUTDOOR ACTIVITY,2022-09-09,,,,,0.0,,2022,2022.0,61500.0,NAN,DIO,,3
442,TN54T6737,TVS,JUPITER,110.0,2020,100000020.0,JAISUBHA MOTORS,2022-02-23,BLACK,58000.0,WALK IN,2022-02-23,110CC BS6,,,,0.0,,2022,2022.0,65000.0,NAN,JUPITER,,2
443,AP39FM5190,TVS,SCOOTY PEPPLUS,88.0,2020,100000023.0,WHEELSMART,2022-05-13,TURQUOISE MATT,40000.0,WALK IN,2022-05-14,,,,,0.0,,2022,2022.0,50000.0,TVSCS,SCOOTY PEPPLUS,,2
445,TN37DW9783,BAJAJ,PULSAR 150 DTSI ABS),150.0,2019,100000019.0,SRI VENKATESWAR AUTOS,2021-10-21,NAN,75000.0,WALK IN,2022-01-06,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,GENERAL SERVICING  - MCYCLE,650.0,960.0,2022,2022.0,82000.0,INDUSIND,PULSAR 150,DTSI ABS,3
446,TN54K7871,HONDA,ACTIVA 125 CBS BSIII,125.0,2015,100000020.0,JAISUBHA MOTORS,2021-10-19,NAN,43000.0,WALK IN,2021-10-19,,,,,0.0,,2021,2021.0,46060.0,NAN,ACTIVA 125,CBS BSIII,6
451,TN30BF3056,SUZUKI,ACCESS 125 BS III,124.0,2016,100000020.0,JAISUBHA MOTORS,2022-04-16,NAN,38000.0,WALK IN,2022-04-16,,,,,0.0,,2022,2022.0,44000.0,NAN,ACCESS 125,BSIII,6
454,RJ50SB8554,TVS,SPORT DURALIFE,110.0,2020,100000013.0,SHANTI TRUMOTO,2022-03-28,POLY BLACK,26200.0,WALK IN,2022-03-28,100CC KICK ALLOY SBT,LEGUARD STAR SPORT CP,609.37,,0.0,500.0,2022,2022.0,29342.0,SCUF(SRIRAM),SPORT,DURALIFE,2
455,MH05DW6152,TVS,JUPITER ZX BSIV,110.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-04-07,MAG PURPLE,39000.0,WALK IN,,,,,,,,2022,2022.0,45002.0,NAN,JUPITER ZX,BSIV,4
456,DL3SDY8365,HONDA,ACTIVA 125,125.0,2018,100000004.0,AHINSHA TRUMOTO,2022-02-18,NAN,35000.0,WALK IN,2022-02-18,,,,,0.0,,2022,2022.0,55000.0,NAN,ACTIVA 125,,4
459,MH06CA7523,SUZUKI,ACCESS 125,124.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-24,NAN,55000.0,WALK IN,2022-07-09,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,PAID BIKE,550.0,940.0,2022,2022.0,69000.0,NAN,ACCESS 125,,3
461,RJ07JS1548,HERO,HF DELUXEE-BLK SELF-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-06-24,NAN,44700.0,WALK IN,2022-06-24,IBS KICK ALLOY 100cc,AIR FILTER,243.75,,0.0,200.0,2022,2022.0,46642.0,SCUF(SRIRAM),HF DELUXE,DRUM SELF CAST,2
466,AP39AW9035,TVS,APACHE RTR 160 4V,160.0,2019,100000023.0,WHEELSMART,2022-08-24,RACING RED,64000.0,WALK IN,2022-09-19,,,,,0.0,,2022,2022.0,78000.0,OTHERS,APACHE RTR160,4V,3
467,DL3SDX6835,HONDA,ACTIVA 125,125.0,2018,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-03-08,NAN,32000.0,WALK IN,2022-03-08,,,,,0.0,,2022,2022.0,57000.0,NAN,ACTIVA 125,,4
468,AP31ED2050,SUZUKI,ACCESS 125,124.0,2017,100000026.0,WHEELSMART,2022-06-20,NAN,44700.0,OUTDOOR ACTIVITY,2022-06-22,,,,,0.0,,2022,2022.0,53300.0,NAN,ACCESS 125,,5
469,MH05EH6246,SUZUKI,ACCESS 125,124.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-01-05,NAN,42200.0,WALK IN,2022-02-17,,CHAIN SPROCKET KIT ASTRA/SUPER CHAMP,747.09,CLUTCH O/H - SCOOTER,145.0,758.0,2022,2022.0,49522.0,NAN,ACCESS 125,,2
470,MH05DX4824,HERO,PASSION PRO110DRUM-SELF-CAST,110.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-18,NAN,46500.0,WALK IN,2021-09-19,100CC DISC ALLOY,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,LABOUR CHARGE,10.0,365.0,2021,2021.0,52660.0,NAN,PASSION PRO,DRUM SELF CAST,3
472,AP26CD6719,ROYAL ENFIELD,CLASSIC 350,350.0,2018,100000027.0,WHEELSMART,2022-05-26,NAN,138870.0,WALK IN,2022-05-26,350cc,,,,0.0,,2022,2022.0,145000.0,NAN,CLASSIC 350,,4
473,MH05EH8960,TVS,SCOOTY PEPPLUS,88.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-24,SYRAH RED,44000.0,WALK IN,2022-03-28,,FILTER HOLDER COMP,270.85,Magneto Replacement,100.0,335.0,2022,2022.0,47904.0,NAN,SCOOTY PEPPLUS,,2
475,DL4SDH3019,TVS,JUPITER,110.0,2016,100000003.0,KRISH AUTOMOBILES,2022-04-06,TITANIUM GREY,20000.0,WALK IN,2022-04-06,110cc,,,,0.0,,2022,2022.0,54000.0,NAN,JUPITER,,6
